generation,rank,fitness,text,length
0,1,0.13248685405900082,"It’s funny, isn’t it, how much 19th century England fixated on ‘character’? But character, you quickly realised, wasn’t some universal thing. It was *decided* by your station. A poor man stealing a lo",125
0,2,0.03008235680560271,"And the whole business of ‘goodness’ in 19th century England, well, it was *complicated*. But really, it hinged on your station, didn’t it? A lord’s indiscretion – a gambling debt, a… *ahem*…fallen wo",129
0,3,0.025684882886707783,"Oh, it was *so* complicated, social class and what people thought was 'right' and 'wrong' in 19th century England. I think it really dictated everything. Like, the upper classes had this idea of 'duty",148
1,1,0.23834717025359473,"It’s funny, isn’t it, how much 19th century England fixated on ‘character’?; but character, you quickly realised, wasn’t some universal thing. It was *decided* by your station; a poor man stealing a l",128
1,2,0.13248685405900082,"It’s funny, isn’t it, how much 19th century England fixated on ‘character’? But character, you quickly realised, wasn’t some universal thing. It was *decided* by your station. A poor man stealing a lo",125
1,3,0.03170512213061253,"And the whole business of ‘goodness’ in 19th century England, well, it was *complicated*. But really, it hinged on your station, didn’t it? A lord’s indiscretion – a gambling debt, a… *ahem*…fallen wo",156
2,1,0.23834717025359473,"It’s funny, isn’t it, how much 19th century England fixated on ‘character’?; but character, you quickly realised, wasn’t some universal thing. It was *decided* by your station; a poor man stealing a l",128
2,2,0.18899625477691492,"Isn't it weird how obsessed people in 19th century England were with someone's ""character""? But the thing is, it wasn't about *who* you were, it was about *where* you were in society. Like, if a poor ",171
2,3,0.13248685405900082,"It’s funny, isn’t it, how much 19th century England fixated on ‘character’? But character, you quickly realised, wasn’t some universal thing. It was *decided* by your station. A poor man stealing a lo",125
3,1,0.30718954900900525,"Isn't it weird how obsessed people in 19th century England were with someone's ""character""; yet, the obsession wasn’t about *who* you were, but *where* you were in society. If a poor man stole a loaf ",140
3,2,0.23834717025359473,"It’s funny, isn’t it, how much 19th century England fixated on ‘character’?; but character, you quickly realised, wasn’t some universal thing. It was *decided* by your station; a poor man stealing a l",128
3,3,0.18899625477691492,"Isn't it weird how obsessed people in 19th century England were with someone's ""character""? But the thing is, it wasn't about *who* you were, it was about *where* you were in society. Like, if a poor ",171
4,1,0.30718954900900525,"Isn't it weird how obsessed people in 19th century England were with someone's ""character""; yet, the obsession wasn’t about *who* you were, but *where* you were in society. If a poor man stole a loaf ",140
4,2,0.23834717025359473,"It’s funny, isn’t it, how much 19th century England fixated on ‘character’?; but character, you quickly realised, wasn’t some universal thing. It was *decided* by your station; a poor man stealing a l",128
4,3,0.18899625477691492,"Isn't it weird how obsessed people in 19th century England were with someone's ""character""? But the thing is, it wasn't about *who* you were, it was about *where* you were in society. Like, if a poor ",171
5,1,0.35864874720573425,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t about *who* you were, but *whence* you hailed in society. If a poor man stole a loa",146
5,2,0.30718954900900525,"Isn't it weird how obsessed people in 19th century England were with someone's ""character""; yet, the obsession wasn’t about *who* you were, but *where* you were in society. If a poor man stole a loaf ",140
5,3,0.26102156688769657,"And it’s funny, isn’t it, how much 19th century England fixated on ‘character’? (Honestly, you’d think they had nothing *else* to worry about.) But character, you quickly realised, wasn’t some univers",151
6,1,0.516044427951177,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t about *who* you were, but *whence* you hailed in society. If a poor man stole a loa",163
6,2,0.35864874720573425,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t about *who* you were, but *whence* you hailed in society. If a poor man stole a loa",146
6,3,0.30718954900900525,"Isn't it weird how obsessed people in 19th century England were with someone's ""character""; yet, the obsession wasn’t about *who* you were, but *where* you were in society. If a poor man stole a loaf ",140
7,1,0.516044427951177,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t about *who* you were, but *whence* you hailed in society. If a poor man stole a loa",163
7,2,0.38529643416404724,"And isn't it weird how obsessed people in 19th century England were with someone's ""character""—though, honestly, everyone’s a little obsessed with judging others, aren’t they?—yet, the obsession wasn’",167
7,3,0.35864874720573425,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t about *who* you were, but *whence* you hailed in society. If a poor man stole a loa",146
8,1,0.516044427951177,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t about *who* you were, but *whence* you hailed in society. If a poor man stole a loa",163
8,2,0.49921993414560956,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t about *who* you were, but *whence* you hailed in society. If a poor man stole a loa",163
8,3,0.38529643416404724,"And isn't it weird how obsessed people in 19th century England were with someone's ""character""—though, honestly, everyone’s a little obsessed with judging others, aren’t they?—yet, the obsession wasn’",167
9,1,0.6389419039090475,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t about *who* you were, but *whence* you hailed in society. If a poor man stole a loa",173
9,2,0.6279351909955343,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t about *who* you were, but *whence* you hailed in society. If a poor man stole a loa",170
9,3,0.516044427951177,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t about *who* you were, but *whence* you hailed in society. If a poor man stole a loa",163
10,1,0.7862837711970011,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t really about *who* you were, but *whence* you hailed in society (it all felt so",188
10,2,0.6389419039090475,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t about *who* you were, but *whence* you hailed in society. If a poor man stole a loa",173
10,3,0.6279351909955343,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t about *who* you were, but *whence* you hailed in society. If a poor man stole a loa",170
11,1,0.7862837711970011,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t really about *who* you were, but *whence* you hailed in society (it all felt so",188
11,2,0.7681334217389425,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t really about *who* you were, but *whence* you hailed in society (it all felt so",202
11,3,0.6389419039090475,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t about *who* you were, but *whence* you hailed in society. If a poor man stole a loa",173
12,1,0.7862837711970011,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t really about *who* you were, but *whence* you hailed in society (it all felt so",188
12,2,0.7805320421854655,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, everyone’s a little obsessed with appearances, aren’t they?—yet, the obsession wasn’t re",209
12,3,0.7681334217389425,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t really about *who* you were, but *whence* you hailed in society (it all felt so",202
13,1,0.8799328207969666,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, it feels a bit stuffy even *thinking* about it now; yet, the obsession wasn’t really abo",211
13,2,0.8510224223136902,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, everyone’s a little obsessed with appearances, aren’t they?—yet, the obsession wasn’t re",231
13,3,0.7862837711970011,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t really about *who* you were, but *whence* you hailed in society (it all felt so",188
14,1,0.8799328207969666,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, it feels a bit stuffy even *thinking* about it now; yet, the obsession wasn’t really abo",211
14,2,0.8510224223136902,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, everyone’s a little obsessed with appearances, aren’t they?—yet, the obsession wasn’t re",231
14,3,0.7862837711970011,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""; yet, the obsession wasn’t really about *who* you were, but *whence* you hailed in society (it all felt so",188
15,1,0.8799328207969666,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, it feels a bit stuffy even *thinking* about it now; yet, the obsession wasn’t really abo",211
15,2,0.8510224223136902,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, everyone’s a little obsessed with appearances, aren’t they?—yet, the obsession wasn’t re",231
15,3,0.8438546856244405,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, it feels a bit stuffy even *thinking* about it now; yet, the obsession wasn’t really abo",223
16,1,0.899933656056722,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, it feels a bit stuffy even *thinking* about it now; yet, the obsession wasn’t really abo",234
16,2,0.8908690810203552,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, it feels a bit stuffy even *thinking* about it now? But the obsession wasn’t really abou",234
16,3,0.8799328207969666,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, it feels a bit stuffy even *thinking* about it now; yet, the obsession wasn’t really abo",211
17,1,0.899933656056722,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, it feels a bit stuffy even *thinking* about it now; yet, the obsession wasn’t really abo",234
17,2,0.8991103172302246,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, it feels a bit stuffy even thinking about it now; yet, the obsession wasn’t really about *wh",230
17,3,0.8908690810203552,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, it feels a bit stuffy even *thinking* about it now? But the obsession wasn’t really abou",234
18,1,0.9200630187988281,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, it feels a bit stuffy even *thinking* about it now; yet, the obsession wasn’t really abo",235
18,2,0.899933656056722,"And isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, it feels a bit stuffy even *thinking* about it now; yet, the obsession wasn’t really abo",234
18,3,0.8991103172302246,"Isn't it peculiar how obsessed people in 19th century England were with one's ""character""—though, honestly, it feels a bit stuffy even thinking about it now; yet, the obsession wasn’t really about *wh",230
